	iptm	ptm	mean_plddt	mean_pdockq2	mean_plddt_lst	replicate	subunits	phrog
0	0.53	0.66	80.98441406250001	0.056700417287730245	0.4998418447236376	rep_1	2	phrog_10000
0	0.35	0.59	78.23988281249999	0.017266790228163395	0.2741199795366085	rep_2	2	phrog_10000
0	0.32	0.56	77.3445703125	0.01573896714725559	0.25175577935569304	rep_3	2	phrog_10000
0	0.5	0.63	76.88346354166667	0.021816627127439203	0.33444719750033336	rep_1	3	phrog_10000
0	0.4	0.56	72.94023437499999	0.018096354402133235	0.2989884883577029	rep_2	3	phrog_10000
0	0.4	0.55	71.3984375	0.020520796312330888	0.3391194212510442	rep_3	3	phrog_10000
0	0.49	0.59	71.56957031249999	0.016825021448922478	0.3008929314659362	rep_1	4	phrog_10000
0	0.42	0.53	68.96718750000001	0.015462736433646209	0.283880284004159	rep_2	4	phrog_10000
0	0.38	0.5	69.29175781250001	0.016825726617563097	0.3021985220515694	rep_3	4	phrog_10000
0	0.56	0.63	75.716390625	0.047579063382320715	0.4961323441887209	rep_1	5	phrog_10000
0	0.54	0.61	74.28560937499999	0.023578930836396415	0.36706017507785244	rep_2	5	phrog_10000
0	0.49	0.57	72.55303125	0.023204362449536838	0.3699130748344734	rep_3	5	phrog_10000
0	0.71	0.74	79.72973958333334	0.18492342326285158	0.749014877027553	rep_1	6	phrog_10000
0	0.65	0.69	76.22686197916667	0.11670069833030446	0.6831241987068505	rep_2	6	phrog_10000
0	0.57	0.63	76.29104166666667	0.037284923770477006	0.4475169601451044	rep_3	6	phrog_10000
0	0.81	0.83	85.42598214285714	0.5168783476380575	0.8992658979293406	rep_1	7	phrog_10000
0	0.8	0.82	84.39385044642856	0.4388455013645364	0.8784325215607288	rep_2	7	phrog_10000
0	0.79	0.8	84.30523437499998	0.39665768321380984	0.8562535258157383	rep_3	7	phrog_10000
0	0.85	0.86	87.9151953125	0.6092131277411857	0.922284299533163	rep_1	8	phrog_10000
0	0.84	0.85	87.2026953125	0.6196656588173541	0.9250616271303975	rep_2	8	phrog_10000
0	0.84	0.85	85.60998046875	0.5344379076107604	0.9005558016267015	rep_3	8	phrog_10000
0	0.88	0.89	87.89171875	0.6830682729414679	0.9298129833200333	rep_1	9	phrog_10000
0	0.88	0.89	88.92567708333334	0.776636596209474	0.954170770187631	rep_2	9	phrog_10000
0	0.86	0.87	88.055703125	0.6343448749005576	0.9173878154825084	rep_3	9	phrog_10000
0	0.87	0.88	87.35579687500001	0.6323426795574079	0.91557611296186	rep_1	10	phrog_10000
0	0.85	0.86	86.23540625	0.2638713723165386	0.817672489050792	rep_2	10	phrog_10000
0	0.83	0.84	87.71726562500001	0.5721113101954136	0.8987300540918126	rep_3	10	phrog_10000
0	0.82	0.83	91.74267857142857	0.8167405869770512	0.9646292661100216	rep_1	2	phrog_10001
0	0.81	0.82	90.03991071428571	0.697100125277344	0.944175607586366	rep_2	2	phrog_10001
0	0.8	0.81	89.40705357142858	0.6535011232352403	0.928627977689777	rep_3	2	phrog_10001
0	0.34	0.52	67.27791666666667	0.022478295822737398	0.35169659607536957	rep_1	3	phrog_10001
0	0.25	0.44	64.15869047619047	0.014504137150051227	0.2798939054086604	rep_2	3	phrog_10001
0	0.22	0.41	56.40130952380952	0.01112364428272899	0.2331531661985002	rep_3	3	phrog_10001
0	0.41	0.54	86.29379464285714	0.5545190683978714	0.9008950681428787	rep_1	4	phrog_10001
0	0.41	0.53	84.93691964285713	0.5847416576842548	0.9293713940188796	rep_2	4	phrog_10001
0	0.38	0.51	83.64776785714287	0.4045240645173298	0.85345562205962	rep_3	4	phrog_10001
0	0.24	0.37	64.72546428571428	0.019460295318321497	0.3378801789709171	rep_1	5	phrog_10001
0	0.23	0.36	65.32421428571428	0.01632390996276451	0.2915723538956228	rep_2	5	phrog_10001
0	0.21	0.35	60.08671428571428	0.012591255812839547	0.24237442038630616	rep_3	5	phrog_10001
0	0.28	0.39	80.78223214285715	0.304381747293001	0.7845482678413737	rep_1	6	phrog_10001
0	0.27	0.38	78.0064880952381	0.1814946587905155	0.6766999956710271	rep_2	6	phrog_10001
0	0.26	0.37	74.58130952380952	0.12255063379055571	0.6269436635545252	rep_3	6	phrog_10001
0	0.2	0.31	67.20530612244897	0.030289217837592364	0.43821296627324374	rep_1	7	phrog_10001
0	0.19	0.29	64.5834693877551	0.02798609119998994	0.3809899207492113	rep_2	7	phrog_10001
0	0.17	0.28	59.995790816326526	0.014021918000526018	0.2734883096359335	rep_3	7	phrog_10001
0	0.23	0.31	78.0078125	0.1900882666476112	0.6992101339611536	rep_1	8	phrog_10001
0	0.22	0.3	74.85191964285715	0.09629831973277361	0.5522837319519989	rep_2	8	phrog_10001
0	0.21	0.3	72.91265625	0.11858875876722526	0.7183649187603283	rep_3	8	phrog_10001
0	0.18	0.26	65.8716865079365	0.03215326183526797	0.3911333876651757	rep_1	9	phrog_10001
0	0.18	0.26	64.79492063492063	0.01611485350682142	0.2964239227247894	rep_2	9	phrog_10001
